LANGUAGE,"English","Russian"
STR_ACT_Crew,"Crew","Экипаж"
STR_RADIO_Friendlyfire,"%1 has engaged friendly!","%1 открыл огонь по своим!"
STR_INTRO_Str0,"Greetings!","Доброго времени суток!"
STR_INTRO_Str1,"HINT","Подсказка"
STR_INTRO_Str2,"The main objectives of the mission on each point","Освобождение городов Черноруссии от натовского контингента"
STR_INTRO_Str3,"1.Detect and destroy 'antenna' in order to cut off enemys airborne and ground reinforcements possibility","Обнаружение и уничтожение 'антенны' с целью пресечения подкреплений противнику"
STR_INTRO_Str4,"2.Clear the area of all enemy units","Дымы кнопка R"
STR_INTRO_Str5,"3.Destroy all enemys in counterattack","Медпакеты у мед.палатки"
STR_INTRO_Str6,"flag teleport","Телепорт к пзп у флага"
STR_INTRO_Str7,"Powerful gear box by private car: forward + Shift","Пониженная передача на купленной технике: вперед + шифт"
STR_INTRO_Str8,"Captured weapons can be stored in a box of ammunition","Трофейное оружие можно сохранить в ящик с боеприпасами!"
STR_INTRO_Str9,"City: release %1","Города: Осталось освободить %1"
STR_INTRO_After,"Some time ago...","Некоторое время назад..."
STR_PARAM_StartTime,"Time:","Время:"
STR_PARAM_TimeEarlyMorning,"Early morning","Раннее утро"
STR_PARAM_TimeMorning,"Morning","Утро"
STR_PARAM_TimeDay,"Day","День"
STR_PARAM_TimeEvening,"Evening","Вечер"
STR_PARAM_TimeNight,"Night","Ночь"
STR_PARAM_Weather,"Weather:","Погода:"
STR_PARAM_WeatherTerrible,"Terrible","Ужасная"
STR_PARAM_WeatherBad,"Bad","Плохая"
STR_PARAM_WeatherClouds,"Clouds","Облачно"
STR_PARAM_WeatherCalm,"Calm","Тихая"
STR_PARAM_WeatherClear,"Perfect","Отличная"
STR_PARAM_WeatherDynamic,"Changing","Переменчивая"
STR_PARAM_Towns,"Number of towns:","Число городов:"
STR_PARAM_Capture,"Towns selection:","Выбор городов:"
STR_PARAM_CaptureClosest,"Closest","Ближайшие"
STR_PARAM_CaptureAway,"Keeping away","Постепенное отдаление"
STR_PARAM_HealPackets,"Use Med Packs","Использовать бинты"
STR_PARAM_HealPackets0,"No. You can not heal yourself, but can heal other as usual","Нет. Вы не сможете вылечить себя, остальных без проблем"
STR_PARAM_UsePriceHealPackets,"Price for MedPacks","Стоимость пополнения медпакетов"
STR_PARAM_UsePrice0,"No","Нет"
STR_PARAM_UsePrice5,"5 pts","5 очков"
STR_PARAM_Deletevehicle,"Delete unused vehicles:","Удаление брошеной техники:"
STR_PARAM_Deletevehicle20,"20 min","20 мин"
STR_PARAM_Deletevehicle40,"40 min","40 мин"
STR_PARAM_Deletevehicle60,"60 min","60 мин"
STR_PARAM_DefRepKits,"Number of Repairkits:","Количество ремкоплектов:"
STR_PARAM_TownEnemySupply,"Enemy supply vehicles:","Вражеская техника снабжения:"
STR_PARAM_TownEnemySupply0,"Nothing","Остутствует"
STR_PARAM_TownEnemySupply1,"Repair","Ремонтный"
STR_PARAM_TownEnemySupply2,"Reammo","Боеприпасы"
STR_PARAM_TownEnemySupply12,"Both","Все"
STR_PARAM_UseStaticDefence,"Enemy use static defence:","В городах будут турели:"
STR_PARAM_UseStaticDefence0,"No","Нет"
STR_PARAM_UseHQ,"Mobile base","Мобильная база"
STR_PARAM_UseHQ0,"No","Нет"
STR_PARAM_UseHQ1,"Yes","Да"
STR_PARAM_UseAIR,"Use Air su-34,ka-52","Используем су-34,ка-52"
STR_PARAM_UseAIR0,"No","Нет"
STR_PARAM_UseAIR1,"Yes","Да"
STR_PARAM_UseGrad,"Use Grad","Используем Град"
STR_PARAM_UseGrad0,"No","Нет"
STR_PARAM_UseGrad1,"Yes","Да"
