LANGUAGE,"English","Russian"
STR_GUI_LIST_Weapons,"Unlock","Разблокировать"
STR_GUI_LIST_Units,"Recruit units","Нанять солдат"
STR_GUI_LIST_Vehicles,"Buy vehicles","Купить технику"
STR_GUI_LIST_Menu,"Main menu","Главное меню"
STR_GUI_LIST_Squad,"Join squad","Вступить в отряд"
STR_GUI_LIST_Kick,"Kick unit","Исключить"
STR_GUI_LIST_Leave,"Leave squad","Покинуть отряд"
STR_GUI_LIST_Apply,"Apply","Принять"
STR_GUI_LIST_Cancel,"Cancel","Отмена"
STR_GUI_VIEW_Title,"Video settings","Настройки видео"
STR_GUI_VIEW_Grid,"Terrain grid","Высота травы"
STR_GUI_VIEW_Distance,"View distance","Дальность видимости"
STR_GUI_VIEW_Markers,"Markers","Маркеры"
STR_GUI_VIEW_Close,"Close","Закрыть"
STR_GUI_MENU_Weapons,"Weapon store","Вооружение"
STR_GUI_MENU_Units,"Recruiting","Подчиненные"
STR_GUI_MENU_Vehicles,"Vehicles","Техника"
STR_GUI_MENU_Resources,"Resources","Ресурсы"
STR_GUI_MENU_Players,"Players","Игроки"
STR_GUI_MENU_Squad,"Squad","Отряд"
STR_GUI_MENU_Video,"Video options","Настройки видео"
STR_GUI_MENU_Score,"Score: %1","Очки: %1"
STR_GUI_MENU_PlayersNumber,"Players: %1","Игроков: %1"
STR_GUI_MENU_SquadNumber,"Alive: %1","В живых: %1"
STR_GUI_RES_Title,"Resources management","Управление ресурсами"
STR_GUI_RES_Unit,"Unit:","Игрок:"
STR_GUI_RES_Ammount,"Ammount:","Количество:"
STR_GUI_RES_Transfer,"Transfer","Передать"
STR_GUI_RES_Points,"%1 Points","%1 Очков"
STR_GUI_MARK_Title,"Markers","Маркеры"
STR_GUI_MARK_Distance,"Distance:","Дистанция:"
STR_GUI_MARK_Type,"Type:","Тип:"
STR_GUI_MARK_Video,"Back","Назад"
STR_GUI_MARK_No,"None","Нет"
STR_GUI_MARK_Type1,"Infantry","Пехота"
STR_GUI_MARK_Type2,"Vehicles","Техника"
STR_GUI_MARK_Type3,"Infantry+vehicles","Пехота+Техника"
STR_GUI_MARK_Type4,"Group","Группа"
STR_GUI_EASA_Title,"Weaponary selection","Выбор боевой загрузки"
STR_NAME_VEH_TT650_Civ,"%1$ Motorcycle","%1$ Мото"
STR_NAME_VEH_tractorOld,"%1$ Tractor Old","%1$ Старый трактор"
STR_NAME_VEH_VWGolf,"%1$ Hatchback","%1$ Гольф"
STR_NAME_VEH_Lada1_TK_CIV_EP1,"%1$ Lada CIV","%1$ Лада"
STR_NAME_VEH_VolhaLimo_TK_CIV_EP1,"%1$ Volha","%1$ Волга"
STR_NAME_VEH_SkodaGreen,"%1$ Skoda Green","%1$ Шкода зел."
STR_NAME_VEH_Pickup_PK_TK_GUE_EP1,"%1$ Pickup","%1$ Пикап ПК"
STR_NAME_VEH_SUV_TK_CIV_EP1,"%1$ SUV CIV","%1$ Джип большой"
STR_NAME_VEH_ArmoredSUV_PMC,"%1$ SUV PMC","%1$ Джип большой PMC"
STR_NAME_VEH_hilux1_civil_1_open,"%1$ Offroad open","%1$ Джип открытый"
STR_NAME_VEH_hilux1_civil_2_covered,"%1$ Offroad covered","%1$ Джип тент"
STR_NAME_VEH_hilux1_civil_3_open_EP1,"%1$ Offroad open 2","%1$ Джип открытый2"
STR_NAME_VEH_datsun1_civil_2_covered,"%1$ datsun covered 2","%1$ Датсун каблук"
STR_NAME_VEH_datsun1_civil_3_open,"%1$ datsun open","%1$ Датсун открытый"
STR_NAME_VEH_car_sedan,"%1$ car sedan","%1$ Авто седан"
STR_NAME_VEH_car_hatchback,"%1$ car hatchback","%1$ Авто хэтчбек"
STR_NAME_VEH_LadaLM,"%1$ LadaL M","%1$ Лада милиция"
STR_NAME_VEH_HMMWV,"%1$ HMMWV","%1$ Хаммер"
STR_NAME_VEH_BAF_Offroad_W,"%1$ BAF Offroad","%1$ BAF Offroad"
STR_NAME_VEH_LandRover_TK_CIV_EP1,"%1$ LandRover","%1$ ЛэндРовер"
STR_NAME_VEH_UAZ_RU,"%1$ UAZ","%1$ УАЗ"
STR_NAME_VEH_Kamaz,"%1$ Kamaz","%1$ Камаз"
STR_NAME_VEH_Ikarus,"%1$ Ikarus","%1$ Икарус"
STR_NAME_VEH_KamazOpen,"%1$ Kamaz Open","%1$ Камаз-открытый"
STR_NAME_VEH_Ural_INS,"%1$ Ural","%1$ Урал"
STR_NAME_VEH_UralOpen_INS,"%1$ Ural Open","%1$ Урал-Открытый"
STR_NAME_VEH_UralCivil2,"%1$ Ural Civil","%1$ Урал Гражданский"
STR_NAME_VEH_V3S_TK_EP1,"%1$ Praga V3S","%1$ Грузовик V3S"
STR_NAME_VEH_V3S_Open_TK_EP1,"%1$ Praga V3S Open","%1$ Грузовик V3S откр"
STR_NAME_VEH_An2_1_TK_CIV_EP1,"%1$ An2","%1$ Ан-2"
STR_NAME_VEH_Offroad_DSHKM_TK_GUE_EP1,"%1$ Offroad_DSHKM","%1$ Внедорожник(ДШКм)"
STR_NAME_VEH_Offroad_SPG9_TK_GUE_EP1,"%1$ Offroad SPG9","%1$ Внедорожник(СПГ-9)"
STR_NAME_VEH_LandRover_MG_TK_EP1,"%1$ LandRover MG","%1$ ЛэндРовер MG"
STR_NAME_VEH_LandRover_Special_CZ_EP1,"%1$ LandRover Special","%1$ ЛэндРовер MG+AGS"
STR_NAME_VEH_LandRover_SPG9_TK_EP1,"%1$ LandRover SPG9","%1$ ЛэндРовер (СПГ-9)"
STR_NAME_VEH_BAF_Jackal2_GMG_W,"%1$ Jackal GMG","%1$ Шакал GMG"
STR_NAME_VEH_BRDM2_HQ_TK_GUE_EP1,"%1$ BRDM2 HQ","%1$ БРДМ-2 HQ"
STR_NAME_VEH_BTR40_MG_TK_INS_EP1,"%1$ BTR-40","%1$ БТР-40"
STR_NAME_VEH_Mi171Sh_rockets_CZ_EP1,"%1$ Mi171 rockets","%1$ Ми-171 rockets"
STR_NAME_VEH_Ka52Black,"%1$ Ka52 Black","%1$ Ka52 Black"
STR_NAME_VEH_L39_TK_EP1,"%1$ L39","%1$ L39"
STR_NAME_VEH_Su25_TK_EP1,"%1$ Su-25","%1$ Су-25"
